Date,Title,Link,Type
2017-12-07,科陆电子：关于子公司使用自有资金进行投资理财的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-07/3918973.PDF,其他
2017-12-07,科陆电子：关于召开公司2017年第十次临时股东大会的通知,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-07/3918972.PDF,股东大会
2017-12-07,科陆电子：关于发行公司债券预案的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-07/3918971.PDF,其他
2017-12-07,科陆电子：独立董事对公司第六届董事会第三十三次（临时）会议相关事项的独立意见,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-07/3918970.PDF,董事会
2017-12-07,科陆电子：第六届董事会第三十三次（临时）会议决议的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-07/3918969.PDF,董事会
2017-12-06,科陆电子：关于签署储能项目合同的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-06/3916350.PDF,其他
2017-12-06,科陆电子：关于董事长向全体员工发出买入公司股票倡议书的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-06/3916349.PDF,其他
2017-12-01,科陆电子：关于收到中标通知书的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-01/3905531.PDF,其他
2017-12-01,科陆电子：关于公司控股股东股份质押及解除质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-01/3905530.PDF,其他
2017-11-25,科陆电子：关于为子公司提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894496.PDF,其他
2017-11-25,科陆电子：关于为参股子公司提供关联担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894495.PDF,其他
2017-11-25,科陆电子：关于控股子公司开展融资租赁业务的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894494.PDF,其他
2017-11-25,科陆电子：关于公司被认定为“国家技术创新示范企业”的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894493.PDF,其他
2017-11-25,科陆电子：独立董事对公司相关事项的事前认可意见,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894492.PDF,其他
2017-11-25,科陆电子：独立董事对公司第六届董事会第三十二次（临时）会议相关事项的独立意见,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894489.PDF,董事会
2017-11-25,科陆电子：兴业证券股份有限公司关于公司增加2017年度日常关联交易预计的核查意见,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894488.PDF,其他
2017-11-25,科陆电子：第六届监事会第二十次（临时）会议决议的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894486.PDF,监事会
2017-11-25,科陆电子：兴业证券股份有限公司关于公司为参股子公司提供关联担保的核查意见,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894484.PDF,其他
2017-11-25,科陆电子：第六届董事会第三十二次（临时）会议决议的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894482.PDF,董事会
2017-11-25,科陆电子：关于追加2017年度公司及子公司向银行申请综合授信额度的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894480.PDF,其他
2017-11-25,科陆电子：关于召开公司2017年第九次临时股东大会的通知,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894479.PDF,股东大会
2017-11-25,科陆电子：关于增加2017年度日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-25/3894476.PDF,其他
2017-11-15,科陆电子：关于收到中标通知书的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-15/3872360.PDF,其他
2017-11-15,科陆电子：关于公司监事减持股份计划实施的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-11/2017-11-15/3872359.PDF,其他
